Name    Info		Vertices  Edges     Comm    CC      q.1 q.5 q.9 Omin    Omax    Omean   Cmin    Cmax    Cmean
amazon  no-filter	16716     48739     5000                        1       49      4.04
amazon  filter		6438	  16294	    3738    876     3   6   13  1       48	    4.026   3       19	    6.934
amazon	filter-S	16716	  48739	    3738	1106	3	9	31	0	    48	    1.551	3	    19	    6.934

youtube filter      12383	  48417	    2513	416	    3	3   6	1	    13	    1.287	3	    38	    6.341
youtube filter-S    39841	  224235	3355	639	    2	2	4	0	    54	    1.749	3	    2217  	20.766
youtube filter-w2   11715	  28790	    3747	1381    2   2   5   1	    15	    1.222	2	    31	    3.821

dblp	filter	    26781	  88292	    3741	1363    6   7   15  1	    11	    1.090	6	    38	    7.800
dblp	filter-S    93432	  335520	3741	392	    6	7	13	0	    11	    0.312	6	    38	    7.800

lj		filter	    42848	  842359	3750	1725    3   7   28  1	    15	    1.716	3	    407	    19.605
lj		filter-S    84438	  1521988	3750	1464	3	7	25	0	    15	    0.871	3	    407	    19.605

orkut   filter	    292720	  7606833	3750	94      3   4   7   1	    46	    1.321	3	    686	    103.085
orkut	filter-S	731514	  21992510	3750	42	    3	3	7	0	    46	    0.528	3	    686	    103.085
